source,target,value
254,548091,1
1302,458358,1
1843,458358,1
1875,548091,1
5315,548091,1
5473,548091,1
5626,458358,1
7153,458358,1
7566,458358,1
8069,458358,1
8492,515301,1
8707,515301,1
9176,515301,1
9666,458358,1
9804,548091,1
11627,548091,1
12000,548091,1
13928,548091,1
14380,548091,1
14700,548091,1
15279,548091,1
15510,548091,1
15800,548091,1
15843,458358,1
16222,458358,1
17098,548091,1
18262,548091,1
18294,548091,1
18390,458358,1
18714,548091,1
18931,548091,1
19388,548091,1
21427,548091,1
22571,458358,1
22595,548091,1
23841,515301,1
24037,548091,1
24039,548091,1
24139,458358,1
25042,458358,1
25402,458358,1
26043,515301,1
26442,548091,1
27052,458358,1
27310,458358,1
27324,515301,1
27995,548091,1
29024,458358,1
29701,515301,1
29970,515301,1
30525,515301,1
31227,458358,1
31258,548091,1
32031,548091,1
32577,458358,1
32909,548091,1
32931,458358,1
33216,548091,1
33570,548091,1
34599,458358,1
34985,515301,1
35370,548091,1
35466,548091,1
36156,548091,1
36383,548091,1
37981,42173,1
37981,42630,1
37981,49400,1
37981,53661,1
37981,54001,1
37981,74298,1
37981,75156,1
37981,82444,1
37981,84379,1
37981,90647,1
37981,97226,1
37981,98398,1
37981,101089,1
37981,113064,1
37981,120958,1
37981,121392,1
37981,131932,1
37981,155388,1
37981,159126,1
37981,159867,1
37981,164441,1
37981,166289,1
37981,169136,1
37981,173666,1
37981,180388,1
37981,186325,1
37981,196107,1
37981,197226,1
37981,198694,1
37981,199536,1
37981,216944,1
37981,220641,1
37981,224111,1
37981,229084,1
37981,229380,1
37981,237364,1
37981,244441,1
37981,247755,1
37981,248336,1
37981,248617,1
37981,248660,1
37981,260173,1
37981,267899,1
37981,271279,1
37981,271496,1
37981,297141,1
37981,305572,1
37981,317389,1
37981,325110,1
37981,338714,1
37981,341435,1
37981,357778,1
37981,358663,1
37981,365621,1
37981,373192,1
37981,382796,1
37981,386439,1
37981,392722,1
37981,397062,1
37981,410151,1
37981,413268,1
37981,422127,1
37981,424221,1
37981,428001,1
37981,429270,1
37981,430059,1
37981,432467,1
37981,434056,1
37981,436786,1
37981,449234,1
37981,457098,1
37981,457573,1
37981,458358,1
37981,465050,1
37981,472827,1
37981,473222,1
37981,473470,1
37981,489236,1
37981,491463,1
37981,503573,1
37981,508411,1
37981,513563,1
37981,522902,1
37981,540553,1
37981,542515,1
38070,548091,1
38087,458358,1
38365,42567,1
38365,45221,1
38365,69304,1
38365,70708,1
38365,77779,1
38365,84379,1
38365,87329,1
38365,87982,1
38365,88885,1
38365,95281,1
38365,96969,1
38365,97585,1
38365,98398,1
38365,98776,1
38365,100209,1
38365,104540,1
38365,108782,1
38365,109693,1
38365,111624,1
38365,112039,1
38365,119977,1
38365,137551,1
38365,141645,1
38365,146343,1
38365,146598,1
38365,150570,1
38365,155967,1
38365,156600,1
38365,164754,1
38365,166875,1
38365,175936,1
38365,176009,1
38365,176262,1
38365,180834,1
38365,184268,1
38365,184987,1
38365,187308,1
38365,189126,1
38365,192848,1
38365,196446,1
38365,204403,1
38365,215057,1
38365,216440,1
38365,222596,1
38365,225404,1
38365,227597,1
38365,236501,1
38365,239205,1
38365,242944,1
38365,249793,1
38365,252672,1
38365,253450,1
38365,259354,1
38365,260157,1
38365,268953,1
38365,271399,1
38365,272396,1
38365,273226,1
38365,274995,1
38365,275218,1
38365,284646,1
38365,286363,1
38365,290224,1
38365,290561,1
38365,291035,1
38365,292448,1
38365,295138,1
38365,300956,1
38365,302950,1
38365,303628,1
38365,303680,1
38365,305572,1
38365,307811,1
38365,310993,1
38365,316015,1
38365,317552,1
38365,321352,1
38365,325210,1
38365,329196,1
38365,329659,1
38365,336289,1
38365,354211,1
38365,364095,1
38365,367103,1
38365,368244,1
38365,372353,1
38365,377648,1
38365,382273,1
38365,387247,1
38365,395965,1
38365,397980,1
38365,399385,1
38365,399429,1
38365,400387,1
38365,401782,1
38365,402912,1
38365,412508,1
